social_media_backend  | [dotenv@17.2.4] injecting env (0) from .env -- tip: ≡ƒöä add secrets lifecycle management: https://dotenvx.com/ops
social_media_backend  | Error in getFeed: Error: Incorrect arguments to mysqld_stmt_execute
social_media_backend  |     at PromisePool.execute (/app/node_modules/mysql2/lib/promise/pool.js:54:22)
social_media_backend  |     at exports.getFeed (/app/controllers/postController.js:68:40)
social_media_backend  |     at Layer.handleRequest (/app/node_modules/router/lib/layer.js:152:17)
social_media_backend  |     at next (/app/node_modules/router/lib/route.js:157:13)
social_media_backend  |     at module.exports (/app/middleware/optionalAuthMiddleware.js:8:16)
social_media_backend  |     at Layer.handleRequest (/app/node_modules/router/lib/layer.js:152:17)
social_media_backend  |     at next (/app/node_modules/router/lib/route.js:157:13)
social_media_backend  |     at Route.dispatch (/app/node_modules/router/lib/route.js:117:3)
social_media_backend  |     at handle (/app/node_modules/router/index.js:435:11)
social_media_backend  |     at Layer.handleRequest (/app/node_modules/router/lib/layer.js:152:17) {
social_media_backend  |   code: 'ER_WRONG_ARGUMENTS',
social_media_backend  |   errno: 1210,
social_media_backend  |   sql: '\n' +
social_media_backend  |     '                SELECT p.*, u.username, u.avatarUrl, u.displayName, u.isPrivate,\n' +
social_media_backend  |     '                (SELECT COUNT(*) FROM `Like` WHERE postId = p.id) as likeCount,\n' +
social_media_backend  |     '                (SELECT COUNT(*) FROM Comment WHERE postId = p.id) as commentCount,\n' +
social_media_backend  |     "                'suggested' as feedType\n" +
social_media_backend  |     '                FROM Post p \n' +
social_media_backend  |     '                JOIN User u ON p.authorId = u.id \n' +
social_media_backend  |     "                WHERE p.privacy = 'public'\n" +
social_media_backend  |     '                ORDER BY p.createdAt DESC\n' +
social_media_backend  |     '                LIMIT ? OFFSET ?\n' +
social_media_backend  |     '            ',
social_media_backend  |   sqlState: 'HY000',
social_media_backend  |   sqlMessage: 'Incorrect arguments to mysqld_stmt_execute'
social_media_backend  | }
social_media_backend  | Error in getFeed: Error: Incorrect arguments to mysqld_stmt_execute
social_media_backend  |     at PromisePool.execute (/app/node_modules/mysql2/lib/promise/pool.js:54:22)
social_media_backend  |     at exports.getFeed (/app/controllers/postController.js:68:40)
social_media_backend  |     at Layer.handleRequest (/app/node_modules/router/lib/layer.js:152:17)
social_media_backend  |     at next (/app/node_modules/router/lib/route.js:157:13)
social_media_backend  |     at module.exports (/app/middleware/optionalAuthMiddleware.js:8:16)
social_media_backend  |     at Layer.handleRequest (/app/node_modules/router/lib/layer.js:152:17)
social_media_backend  |     at next (/app/node_modules/router/lib/route.js:157:13)
social_media_backend  |     at Route.dispatch (/app/node_modules/router/lib/route.js:117:3)
social_media_backend  |     at handle (/app/node_modules/router/index.js:435:11)
social_media_backend  |     at Layer.handleRequest (/app/node_modules/router/lib/layer.js:152:17) {
social_media_backend  |   code: 'ER_WRONG_ARGUMENTS',
social_media_backend  |   errno: 1210,
social_media_backend  |   sql: '\n' +
social_media_backend  |     '                SELECT p.*, u.username, u.avatarUrl, u.displayName, u.isPrivate,\n' +
social_media_backend  |     '                (SELECT COUNT(*) FROM `Like` WHERE postId = p.id) as likeCount,\n' +
social_media_backend  |     '                (SELECT COUNT(*) FROM Comment WHERE postId = p.id) as commentCount,\n' +
social_media_backend  |     "                'suggested' as feedType\n" +
social_media_backend  |     '                FROM Post p \n' +
social_media_backend  |     '                JOIN User u ON p.authorId = u.id \n' +
social_media_backend  |     "                WHERE p.privacy = 'public'\n" +
social_media_backend  |     '                ORDER BY p.createdAt DESC\n' +
social_media_backend  |     '                LIMIT ? OFFSET ?\n' +
social_media_backend  |     '            ',
social_media_backend  |   sqlState: 'HY000',
social_media_backend  |   sqlMessage: 'Incorrect arguments to mysqld_stmt_execute'
social_media_backend  | }
